City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hobart,40,AU,1563409511,53,-42.88,147.33,50.0,3.36
1,aykhal,0,RU,1563409511,65,65.95,111.51,46.4,8.95
2,bluff,0,AU,1563409511,41,-23.58,149.07,60.72,3.11
3,ponta do sol,40,BR,1563409511,59,-20.63,-46.0,56.4,5.01
4,deputatskiy,98,RU,1563409511,76,69.3,139.9,38.22,10.54
5,port elizabeth,1,US,1563409512,62,39.31,-74.98,91.0,5.82
6,seoul,90,KR,1563409445,74,37.57,126.98,84.2,6.58
7,komsomolskiy,100,RU,1563409512,97,67.55,63.78,56.76,11.25
8,new norfolk,40,AU,1563409294,53,-42.78,147.06,50.0,3.36
9,ushuaia,75,AR,1563409513,52,-54.81,-68.31,41.0,17.22
10,jalalabad,40,AF,1563409513,66,34.43,70.46,84.2,1.12
11,rikitea,20,PF,1563409513,75,-23.12,-134.97,71.52,24.07
12,srednekolymsk,98,RU,1563409372,47,67.46,153.71,54.24,13.98
13,torbay,90,CA,1563409513,77,47.66,-52.73,66.2,9.17
14,albany,90,US,1563409268,88,42.65,-73.75,75.99,3.87
15,batagay-alyta,100,RU,1563409514,84,67.8,130.41,34.62,13.94
16,atuona,12,PF,1563409514,71,-9.8,-139.03,80.16,12.82
17,vigrestad,75,NO,1563409516,87,58.57,5.7,57.2,10.29
18,yellowknife,75,CA,1563409516,41,62.45,-114.38,84.0,10.29
19,port alfred,66,ZA,1563409516,75,-33.59,26.89,60.01,4.94
20,ballina,62,IE,1563409374,92,54.11,-9.15,59.0,3.0
21,dikson,0,RU,1563409517,71,73.51,80.55,45.24,8.46
22,sola,66,TZ,1563409328,58,-3.17,33.8,66.3,7.36
23,grand gaube,75,MU,1563409517,77,-20.01,57.66,69.8,18.34
24,punta arenas,20,CL,1563409517,80,-53.16,-70.91,35.6,9.17
25,fairbanks,40,US,1563409518,41,64.84,-147.72,77.0,4.7
26,tuktoyaktuk,40,CA,1563409518,76,69.44,-133.03,57.2,11.41
27,thompson,90,CA,1563409313,36,55.74,-97.86,77.0,6.93
28,sao joao da barra,20,BR,1563409456,82,-21.64,-41.05,66.2,4.7
29,narsaq,100,GL,1563409519,66,60.91,-46.05,53.6,4.7
30,balezino,90,RU,1563409519,84,57.97,53.01,52.8,4.54
31,hermanus,61,ZA,1563409519,73,-34.42,19.24,64.0,3.0
32,kieta,33,PG,1563409519,67,-6.22,155.63,83.94,2.86
33,buzmeyin,0,TM,1563409519,52,38.05,58.21,87.8,6.93
34,kano,89,NG,1563409520,64,11.99,8.53,81.42,16.02
35,mataura,99,NZ,1563409521,77,-46.19,168.86,48.99,3.0
36,hambantota,100,LK,1563409521,79,6.12,81.12,81.6,26.66
37,saint-augustin,20,CA,1563409456,47,45.63,-73.98,80.6,3.36
38,cape town,75,ZA,1563409292,82,-33.93,18.42,57.99,16.11
39,ambulu,74,ID,1563409522,89,-8.35,113.61,71.88,3.6
40,tasiilaq,0,GL,1563409522,81,65.61,-37.64,48.2,2.24
41,avarua,0,CK,1563409522,69,-21.21,-159.78,77.0,17.22
42,dukat,0,AL,1563409522,73,40.25,19.57,69.01,3.51
43,severo-kurilsk,80,RU,1563409523,96,50.68,156.12,44.34,6.96
